source_id,date,source_kind,topic,availability,verbatim,transformation,human_validation,training_eligibility,summary
CWTV-CONV-000001,2026-09-10,current_conversation,tmux workflow,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,The CineWatch tmux map is nine windows and 6:git is Version Control only; 8:chronicle owns engineering history and dashboard governance.
CWTV-CONV-000002,2026-09-10,current_conversation,frontend styling,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,CineWatch uses semantic HTML and native CSS as primary design authority; Tailwind is permitted selectively when justified.
CWTV-CONV-000003,2026-09-10,current_conversation,CSS-exclusive pages,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,"Complex cinematic, editorial, screenplay, gallery, responsive, animation, or accessibility-sensitive surfaces may remain CSS-exclusive."
CWTV-CONV-000004,2026-09-10,current_conversation,competitive design,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,"The design research direction benchmarks streaming, music, production/screenwriting, and entertainment editorial products without cloning them."
CWTV-CONV-000005,2026-09-10,current_conversation,V1.3.1,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,CWTV.V1.3.1 began as Design System Evidence and Competitive Intelligence before implementation changes.
CWTV-CONV-000006,2026-09-10,current_conversation,whitespace correction,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,"A staged diff whitespace gate rejected trailing Markdown whitespace; the files were normalized, rehashed, correction events appended, then restaged and committed."
CWTV-CONV-000007,2026-09-10,current_conversation,NexVox objective,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,"The user requested an engineering knowledge/training layer so NexVox can learn how CineWatch was built, including errors, corrections, decisions, commits, tests, and engineering methods."
CWTV-CONV-000008,2026-09-10,current_conversation,NexVox formats,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,"Requested corpus representations include Markdown, YAML, CSV where appropriate, and a local-only PDF; JSONL was added for append-friendly machine records."
CWTV-CONV-000009,2026-09-10,current_conversation,Git provenance,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,A Git bundle was provided so the engineering corpus can audit complete reachable history rather than only the current source ZIP.
CWTV-CONV-000010,2026-09-10,current_conversation,training eligibility,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,Inspection of all source does not imply training permission for all source; external/provider material requires review and generated projections should be deduplicated.
CWTV-CONV-000011,2026-09-10,current_conversation,per-commit sync,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,A normal engineering commit should be followed by a NexVox projection commit that records the exact source commit; projection commits do not recursively trigger another projection.
CWTV-CONV-000012,2026-09-10,current_conversation,audit permission,retrieved_conversation_context,false,normalized_engineering_fact,pending,TRAINING_REVIEW_REQUIRED,"The user explicitly authorized completion of the NexVox Engineering Knowledge Authority, policy/schema, and measured datasets before resuming CWTV.V1.3.1 design work."
