reconciliation_id,kind,primary_source,secondary_or_conflicting_source,resolution,evidence
CWTV-RECON-0001,GENERATED_DUPLICATION,docs/progress/activity/engineering-events.jsonl,docs/progress/CineWatch_TV_Engineering_Chronicle.md,Ledger is canonical; Markdown Chronicle is a generated human projection and should not be duplicated in training chunks.,repository chronicle generator architecture
CWTV-RECON-0002,GENERATED_DUPLICATION,docs/progress/activity/engineering-events.jsonl,docs/progress/dashboard/progress-data.json,Ledger is canonical; dashboard data is a generated projection.,repository dashboard generator architecture
CWTV-RECON-0003,GENERATED_CONTRACT,backend FastAPI/Pydantic authority,packages/contracts/openapi/cinewatch-v1.openapi.json,Treat OpenAPI as governed projection and generated TypeScript declarations as downstream reference; do not weight all three equally.,contract generation pipeline
CWTV-RECON-0004,SIGNED_ATTESTATION,docs/blueprints/CineWatch_Tv_V1_Blueprint_001.md,docs/blueprints/CineWatch_Tv_V1_Blueprint_001.pdf,Use Markdown for searchable substantive authority and PDF/hash as immutable signed attestation; preserve both provenance roles.,signed blueprint governance
CWTV-RECON-0005,PARTIAL_COVERAGE,Git commit graph,engineering-events.jsonl commit fields,Git proves 41 reachable commits while ledger directly references 10 unique commit SHAs; join both sources rather than treating ledger commit references as exhaustive Git history.,bundle-complete Git graph versus event ledger
CWTV-RECON-0006,CONVERSATION_ONLY_FAILURE,conversation/terminal evidence,engineering-events.jsonl,Preserve that the staged whitespace gate failed as conversation-derived evidence; do not invent a missing FAILED ledger event. Ledger records only the later correction events.,CWTV-EVT-000128 and CWTV-EVT-000129
CWTV-RECON-0007,STALE_DOCUMENT_STATUS,docs/progress/activity/engineering-events.jsonl,qualified architecture document headers,Treat candidate-status headers as historical document text when the append-only ledger later proves the owning milestone qualified; do not rewrite signed/history evidence merely to make wording current.,docs/architecture/CineWatch_TV_V1_Backend_Service_Skeleton_001.md (IMPLEMENTATION CANDIDATE); docs/architecture/CineWatch_TV_V1_CI_Security_Quality_Foundation_001.md (Candidate for qualification); docs/architecture/CineWatch_TV_V1_Frontend_Application_Skeleton_001.md (IMPLEMENTATION CANDIDATE); docs/architecture/CineWatch_TV_V1_Local_Provider_Runtime_Secret_Boundary_and_Media_Fallback_Authority_001.md (IMPLEMENTATION CANDIDATE); docs/architecture/CineWatch_TV_V1_OpenAPI_and_Typed_Contract_Foundation_001.md (implementation candidate); docs/architecture/CineWatch_TV_V1_PostgreSQL_and_Migration_Foundation_001.md (IMPLEMENTATION CANDIDATE); docs/architecture/CineWatch_TV_V1_TMDb_Real_Data_Homepage_Foundation_001.md (Implementation candidate); docs/architecture/CineWatch_TV_V1_Termux_Linux_Engineering_Workflow_001.md (Candidate for qualification); docs/architecture/evidence/CineWatch_TV_V1_3_3_2_1_R1_OpenAPI_Foundation_Test_Neutralization_Correction_001.md (Correction candidate)
CWTV-RECON-0008,EXTERNAL_EVIDENCE,CineWatch-owned conclusions,provider/external research passages,Keep externally sourced evidence review-required and extract CineWatch-owned decisions into separately attributable knowledge records.,rights register and competitive design research
CWTV-RECON-0009,LEGACY_PROVENANCE,CineWatch V1 architecture,legacy CineWatchStream,Legacy product material is provenance/reference only unless explicitly reimplemented and qualified in V1.,V1 design intelligence authority
CWTV-RECON-0010,STATUS_VOCABULARY,event_type plus result semantics,individual historical event conventions,Interpret event_type and result together; do not rewrite older valid event vocabulary to match newer conventions.,append-only event schema and historical records
