chain_id,milestone,failure_event,failure_type,failure_summary,correction_event,correction_id,correction_summary,resolution_event,resolution_type,resolution_summary,chain_state
CWTV-FC-00001,CWTV.V1.2.3,CWTV-EVT-000014,DEPENDENCY_INSTALL_FAILED,Native Termux installation fell back to building pydantic-core and failed on the Android Rust target boundary.,CWTV-EVT-000016,CWTV.V1.2.3_RUNTIME_BOUNDARY_REFINEMENT,Ubuntu 26.04 ARM64 PRoot with external Python virtualenv established as the phone backend runtime.,CWTV-EVT-000016,CORRECTION_APPLIED,Ubuntu 26.04 ARM64 PRoot with external Python virtualenv established as the phone backend runtime.,CORRECTED
CWTV-FC-00002,CWTV.V1.2.4,CWTV-EVT-000022,LINT_FAILED,ESLint 10.10.0 failed while loading react/display-name because the React plugin called a removed context filename API.,CWTV-EVT-000023,CWTV.V1.2.4_R1,R1 pinned ESLint 9.39.5 and corrected EOF whitespace defects.,CWTV-EVT-000023,CORRECTION_GENERATED,R1 pinned ESLint 9.39.5 and corrected EOF whitespace defects.,CORRECTED
CWTV-FC-00003,CWTV.V1.2.4,CWTV-EVT-000024,DEPENDENCY_TREE_FAILED,A stale workspace-local ESLint 10.10.0 lock resolution remained after the source package pin and made npm report ELSPROBLEMS.,CWTV-EVT-000025,CWTV.V1.2.4_R1_LOCK_RECONCILIATION,npm workspace lock was explicitly reconciled to ESLint 9.39.5 and a clean npm ci removed the invalid local resolution.,CWTV-EVT-000025,CORRECTION_APPLIED,npm workspace lock was explicitly reconciled to ESLint 9.39.5 and a clean npm ci removed the invalid local resolution.,CORRECTED
CWTV-FC-00004,CWTV.V1.2.5,CWTV-EVT-000032,MIGRATION_QUALIFICATION_FAILED,Offline migration qualification exported DATABASE_URL into the later settings test and violated the optional-database configuration contract.,CWTV-EVT-000034,CWTV.V1.2.5_R1,R1 isolated the placeholder database URL to the Alembic command and added regression checks for environment isolation.,CWTV-EVT-000034,CORRECTION_GENERATED,R1 isolated the placeholder database URL to the Alembic command and added regression checks for environment isolation.,CORRECTED
CWTV-FC-00005,CWTV.V1.2.5.1,CWTV-EVT-000044,STATIC_QUALIFICATION_FAILED,Chronicle static qualification failed.,CWTV-EVT-000050,CWTV.V1.2.5.1_R1_Self_Recording_Projection_Consistency_Correction,R1 synchronized generated Chronicle projections after STARTED events before self-recorded commands execute.,CWTV-EVT-000050,CORRECTION_APPLIED,R1 synchronized generated Chronicle projections after STARTED events before self-recorded commands execute.,CORRECTED
CWTV-FC-00006,CWTV.V1.2.5.1,CWTV-EVT-000046,REPOSITORY_REGRESSION_FAILED,Repository regression after chronicle foundation failed.,CWTV-EVT-000050,CWTV.V1.2.5.1_R1_Self_Recording_Projection_Consistency_Correction,R1 synchronized generated Chronicle projections after STARTED events before self-recorded commands execute.,CWTV-EVT-000050,CORRECTION_APPLIED,R1 synchronized generated Chronicle projections after STARTED events before self-recorded commands execute.,CORRECTED
CWTV-FC-00007,CWTV.V1.2.5.1,CWTV-EVT-000057,VISUAL_QUALIFICATION_FAILED,Rendered dashboard was structurally accurate but failed responsive visual qualification.,CWTV-EVT-000061,CWTV.V1.2.5.1_R2,"R2 removed fixed-width overflow patterns and introduced responsive semantic color, adaptive chart rendering and motion.",CWTV-EVT-000061,CORRECTION_APPLIED,"R2 removed fixed-width overflow patterns and introduced responsive semantic color, adaptive chart rendering and motion.",CORRECTED
CWTV-FC-00008,CWTV.V1.2.6,CWTV-EVT-000075,CONTRACT_RUNTIME_QUALIFICATION_FAILED,Contract runtime qualification failed because the checker assumed openapi-typescript was hoisted into repository-root node_modules.,CWTV-EVT-000080,CWTV.V1.2.6_R1,R1 replaced root-node_modules assumptions with npm workspace resolution for openapi-typescript runtime qualification.,CWTV-EVT-000080,CORRECTION_APPLIED,R1 replaced root-node_modules assumptions with npm workspace resolution for openapi-typescript runtime qualification.,CORRECTED
CWTV-FC-00009,CWTV.V1.2.7,CWTV-EVT-000093,RUNTIME_QUALIFICATION_FAILED,CWTV.V1.2.7 native runtime qualification initially failed because the Termux zip packaging utility was unavailable,,,,CWTV-EVT-000096,RUNTIME_QUALIFICATION_PASSED,CWTV.V1.2.7 Termux/Linux engineering workflow runtime qualification passed,RESOLVED_BY_PASS
CWTV-FC-00010,CWTV.V1.2.7,CWTV-EVT-000094,RUNTIME_QUALIFICATION_FAILED,CWTV.V1.2.7 native runtime qualification initially failed because the Termux zip packaging utility was unavailable,,,,CWTV-EVT-000096,RUNTIME_QUALIFICATION_PASSED,CWTV.V1.2.7 Termux/Linux engineering workflow runtime qualification passed,RESOLVED_BY_PASS
CWTV-FC-00011,CWTV.V1.2.7,CWTV-EVT-000097,STAGED_DIFF_CHECK_FAILED,Final staged diff qualification detected trailing whitespace in the CWTV.V1.2.7 architecture document and ADR,CWTV-EVT-000098,,Removed trailing whitespace from the CWTV.V1.2.7 architecture document and ADR and restaged both files,CWTV-EVT-000098,CORRECTION_APPLIED,Removed trailing whitespace from the CWTV.V1.2.7 architecture document and ADR and restaged both files,CORRECTED
CWTV-FC-00012,CWTV.V1.2.8,CWTV-EVT-000108,SECURITY_RUNTIME_QUALIFICATION_FAILED,V1.2.8 security runtime qualification detected a high-severity js-yaml advisory in the OpenAPI contract-generation dependency path.,CWTV-EVT-000113,,Applied a root-scoped @redocly/openapi-core -> js-yaml 4.3.2 override without changing openapi-typescript 7.13.0.,CWTV-EVT-000113,CORRECTION_APPLIED,Applied a root-scoped @redocly/openapi-core -> js-yaml 4.3.2 override without changing openapi-typescript 7.13.0.,CORRECTED
