sequence,commit,parents,author_at,committer_at,author_name,subject,files_changed,additions,deletions,is_nexvox_projection,nexvox_source_commit
1,56c4ffd711615d94a50d213387a74ce5acd36d09,,2026-09-07T11:19:16+02:00,2026-09-07T11:19:16+02:00,Alex Malunda,chore: establish CineWatch TV V1 governance foundation,8,2154,0,false,
2,fd6e8855b4ddd80feba561bfb22c47380a618f85,56c4ffd711615d94a50d213387a74ce5acd36d09,2026-09-07T20:16:36+02:00,2026-09-07T20:16:36+02:00,Alex Malunda,docs: approve CineWatch V1 engineering architecture,1,377,0,false,
3,d050344387a963e0c3336a010fcef1ab7644eadd,fd6e8855b4ddd80feba561bfb22c47380a618f85,2026-09-07T20:45:00+02:00,2026-09-07T20:45:00+02:00,Alex Malunda,chore: establish CineWatch V1 repository toolchain foundation,20,595,20,false,
4,c0324fc80fedca08a7a0fa41cb9adef7e7575869,d050344387a963e0c3336a010fcef1ab7644eadd,2026-09-07T23:06:29+02:00,2026-09-07T23:06:29+02:00,Alex Malunda,feat: establish CineWatch V1 backend service skeleton,34,924,12,false,
5,7b6a8392d90fb08be9f522e9a182c723f2719cdd,c0324fc80fedca08a7a0fa41cb9adef7e7575869,2026-09-08T03:25:33+02:00,2026-09-08T03:25:33+02:00,Alex Malunda,feat: establish CineWatch V1 frontend application skeleton,30,7103,8,false,
6,678500c0160ac002f8e8585ab4f7560ea22e4d6e,7b6a8392d90fb08be9f522e9a182c723f2719cdd,2026-09-08T03:55:07+02:00,2026-09-08T03:55:07+02:00,Alex Malunda,feat: establish CineWatch V1 PostgreSQL migration foundation,22,724,24,false,
7,50f40cc4c24d829b57c61ccc2939423d0b269e50,678500c0160ac002f8e8585ab4f7560ea22e4d6e,2026-09-08T04:45:13+02:00,2026-09-08T04:45:13+02:00,Alex Malunda,feat: establish CineWatch engineering progress chronicle,16,4399,0,false,
8,74856ca2738afaa33d33ed7cb1983967fc0355bd,50f40cc4c24d829b57c61ccc2939423d0b269e50,2026-09-08T05:25:09+02:00,2026-09-08T05:25:09+02:00,Alex Malunda,fix: qualify CineWatch engineering dashboard visual experience,8,1208,175,false,
9,e15752642ed22d30b99caadf546214eea15b730f,74856ca2738afaa33d33ed7cb1983967fc0355bd,2026-09-09T06:58:32+02:00,2026-09-09T06:58:32+02:00,Alex Malunda,feat: establish CineWatch V1 OpenAPI typed contract foundation,28,1688,57,false,
10,50a453e1efccba0d963d2990b7c6a528fc35ffcf,e15752642ed22d30b99caadf546214eea15b730f,2026-09-09T21:34:35+02:00,2026-09-09T21:34:35+02:00,Alex Malunda,feat: establish CineWatch Termux Linux engineering workflow,16,1931,19,false,
11,6bd64ebbd5c3cb459871da05be2a97f4f6438246,50a453e1efccba0d963d2990b7c6a528fc35ffcf,2026-09-10T02:51:26+02:00,2026-09-10T02:51:26+02:00,Alex Malunda,feat: establish CineWatch CI security quality foundation,11,1941,90,false,
12,a7d907a63796212e763c7ff9e42ba17b73776567,6bd64ebbd5c3cb459871da05be2a97f4f6438246,2026-09-10T03:08:57+02:00,2026-09-10T03:08:57+02:00,Alex Malunda,fix: align CineWatch CI npm runtime,1,6,0,false,
13,2b12d282bb43e4c36ff214883ebbe647585ef21d,a7d907a63796212e763c7ff9e42ba17b73776567,2026-09-10T03:41:37+02:00,2026-09-10T03:41:37+02:00,Alex Malunda,fix: track governed OpenAPI contract,2,170,0,false,
14,9e8a4a2c4b0d7014b3bcba8ef79324f88cb30483,2b12d282bb43e4c36ff214883ebbe647585ef21d,2026-09-10T04:01:59+02:00,2026-09-10T04:01:59+02:00,Alex Malunda,fix: resolve backend CI Python runtime,1,8,0,false,
15,cf47aa43dcfcdbc5be4159c5a52680e325573eab,9e8a4a2c4b0d7014b3bcba8ef79324f88cb30483,2026-09-10T04:19:36+02:00,2026-09-10T04:19:36+02:00,Alex Malunda,fix: resolve migration CI Python runtime,1,7,0,false,
16,fdb8311f1b800837a25f1a52fa788cbcf35b53da,cf47aa43dcfcdbc5be4159c5a52680e325573eab,2026-09-10T04:33:54+02:00,2026-09-10T04:33:54+02:00,Alex Malunda,docs: qualify CineWatch CI security quality foundation,3,38,15,false,
