milestone,event_count,started_event,started_at,latest_event,latest_event_type,qualified,qualified_event,failed_events,correction_events,duration_seconds_sum
CWTV.V1.1,4,CWTV-EVT-000001,,CWTV-EVT-000004,MILESTONE_QUALIFIED,true,CWTV-EVT-000004,0,0,0
CWTV.V1.2.1,4,CWTV-EVT-000005,,CWTV-EVT-000008,MILESTONE_QUALIFIED,true,CWTV-EVT-000008,0,0,0
CWTV.V1.2.2,4,CWTV-EVT-000009,,CWTV-EVT-000012,MILESTONE_QUALIFIED,true,CWTV-EVT-000012,0,0,0
CWTV.V1.2.3,7,CWTV-EVT-000013,,CWTV-EVT-000019,MILESTONE_QUALIFIED,true,CWTV-EVT-000019,1,1,0
CWTV.V1.2.4,9,CWTV-EVT-000020,,CWTV-EVT-000028,MILESTONE_QUALIFIED,true,CWTV-EVT-000028,2,2,0
CWTV.V1.2.5,9,CWTV-EVT-000029,,CWTV-EVT-000037,MILESTONE_QUALIFIED,true,CWTV-EVT-000037,1,1,0
CWTV.V1.2.5.1,30,CWTV-EVT-000038,2026-09-08T02:12:28Z,CWTV-EVT-000067,PUSH_COMPLETED,true,CWTV-EVT-000065,3,8,6
CWTV.V1.2.6,17,CWTV-EVT-000074,2026-09-09T04:32:01Z,CWTV-EVT-000084,PUSH_COMPLETED,true,CWTV-EVT-000082,1,4,0
CWTV.V1.2.7,17,CWTV-EVT-000087,2026-09-09T20:08:00+02:00,CWTV-EVT-000101,PUSH_COMPLETED,true,CWTV-EVT-000099,3,1,0
CWTV.V1.2.8,23,CWTV-EVT-000103,2026-09-09T21:42:00+02:00,CWTV-EVT-000124,MILESTONE_QUALIFIED,true,CWTV-EVT-000124,2,11,0
CWTV.V1.3.1,12,CWTV-EVT-000125,2026-09-10T06:27:47Z,CWTV-EVT-000136,CORRECTION_APPLIED,false,,1,4,0
